crossing time (s)	slope (V/s)	crossing number
3613.531465	114.519000	1534
3618.573122	85.688382	1535
3619.561083	77.072944	1536
3620.595966	75.394406	1537
3621.607367	67.137158	1538
3622.621935	67.774693	1539
3623.636027	61.243807	1540
3624.629245	61.660167	1541
3625.667828	55.855368	1542
3626.648428	54.509066	1543
3627.669034	48.142242	1544
3628.670545	47.124076	1545
3629.672533	41.948938	1546
3630.708261	41.039479	1547
3631.687834	37.708645	1548
3632.728306	35.713717	1549
3633.714385	34.036754	1550
3634.736750	31.994962	1551
3635.731996	29.909378	1552
3636.747148	29.050159	1553
3637.757409	25.967732	1554
3638.751801	25.370083	1555
3639.794100	21.440119	1556
3640.738525	22.109951	1557
3641.841497	17.828329	1558
3642.747212	18.739362	1559
3643.844702	16.966856	1560
3644.762421	16.236996	1561
3645.847636	13.684620	1562
3646.787692	14.542040	1563
3647.843499	13.800557	1564
3648.835320	11.683817	1565
3649.838641	12.818771	1566
3650.881108	10.652798	1567
3651.843692	9.913158	1568
3652.906751	8.747129	1569
3653.865500	8.571067	1570
3654.924489	8.783010	1571
3655.889933	7.427721	1572
3656.906893	6.693576	1573
3657.932919	6.690207	1574
3658.900161	5.925502	1575
3659.966670	5.658913	1576
3660.912893	5.632973	1577
3661.961017	4.907360	1578
3662.934501	4.404483	1579
3664.005875	4.859310	1580
3664.944170	4.764108	1581
3665.995759	4.099829	1582
3666.987702	3.976532	1583
3668.013863	2.721063	1584
3668.999863	3.224069	1585
3670.032851	3.119870	1586
3671.044127	3.480492	1587
3672.002530	2.165161	1588
3673.093927	1.933720	1589
3674.004592	3.042760	1590
3675.111887	1.327131	1591
3676.008895	1.311403	1592
