time (s)	magX	magY	magZ
4801.031097	-29.690239	-128.579788	-1188.310913
4801.034390	-9.292811	-121.741676	-1188.135620
4801.037329	11.689071	-115.020454	-1188.310913
4801.040638	30.917591	-108.533028	-1186.440674
4801.043962	50.847458	-100.759796	-1183.167725
4801.047272	70.309761	-93.512566	-1179.368774
4801.050184	90.005844	-86.382233	-1174.868530
4801.053512	109.585037	-79.193459	-1169.900635
4801.056843	128.404434	-72.180008	-1162.010498
4801.060176	147.691406	-65.283463	-1155.055542
4801.063515	165.984802	-58.036240	-1146.580933
4801.066847	184.161301	-51.315022	-1137.112793
4801.070179	201.928680	-44.476913	-1127.001709
4801.073508	218.877838	-38.924606	-1116.306152
4801.076844	235.943893	-33.664524	-1105.669189
4801.080201	252.717712	-27.936878	-1094.155518
4801.083509	268.848633	-23.611923	-1081.940308
4801.086848	285.154877	-19.170076	-1068.614868
4801.090169	300.584473	-15.254237	-1054.646362
4801.093512	316.072449	-11.572180	-1040.385742
4801.096840	330.742249	-8.474577	-1026.826416
4801.100171	344.710693	-5.669199	-1010.695435
4801.103508	358.503784	-2.922268	-994.564636
4801.106854	371.595551	-0.584454	-979.894836
4801.110177	383.985962	1.870251	-963.530090
4801.113507	396.259491	3.857393	-946.230347
4801.116841	407.773193	5.143191	-930.099365
4801.120172	418.644043	6.954997	-912.156677
4801.123532	429.047333	8.416131	-894.330811
4801.126844	438.398590	9.877264	-876.563477
4801.131462	455.639984	12.448860	-839.976624
4801.134382	462.653412	14.611338	-821.332520
4801.137713	469.666870	16.364700	-803.156067
4801.141119	476.621857	17.767387	-785.563965
4801.144422	483.635284	19.637638	-766.569275
4801.147342	488.252502	22.033899	-748.918762
4801.150597	493.044983	23.670368	-731.092957
4801.153920	496.317963	26.183519	-713.676208
4801.157271	500.584473	28.521332	-696.201050
4801.160605	503.331360	31.209818	-679.719421
4801.163500	505.376953	33.956753	-662.536499
4801.166840	507.422546	36.586792	-645.061340
4801.170168	509.059052	39.275276	-628.229065
4801.173505	509.818848	42.314438	-612.741089
4801.176831	510.637054	44.593803	-595.908813
4801.180164	511.046173	47.866745	-581.355957
4801.183502	511.455292	50.789009	-565.809509
4801.186835	510.870850	53.477497	-550.905884
4801.190169	509.994171	55.523087	-535.008789
4801.193499	509.409729	58.386909	-521.215698
4801.196856	507.130341	60.900055	-506.545868
4801.200167	505.786072	63.062538	-492.752777
4801.203535	504.149628	64.699005	-477.790771
4801.206826	502.396240	66.160141	-465.108093
4801.210176	500.175323	67.971947	-451.548828
4801.213498	497.253082	69.842194	-438.690796
4801.216826	495.149048	70.368210	-426.183502
4801.220163	492.168335	70.835770	-413.500885
4801.223498	489.246033	71.361771	-401.110474
4801.226830	487.025116	71.537109	-389.187592
4801.230157	483.576874	72.180008	-377.732330
4801.233497	480.362366	71.712448	-366.452362
4801.236828	476.388062	71.712448	-354.938629
4801.240160	472.764435	70.952660	-344.243134
4801.244855	466.101685	70.017532	-323.378143
4801.247752	462.887207	69.199303	-312.448853
4801.251102	459.380493	68.030396	-303.097595
4801.254367	455.464661	67.212158	-292.869659
4801.257672	452.425476	66.393921	-283.518402
4801.260585	448.275848	65.575691	-274.167145
4801.263918	444.652283	64.815895	-265.751038
4801.267256	440.853302	63.763882	-256.692017
4801.270580	436.294556	62.711864	-248.100525
4801.273935	432.554047	61.542957	-241.203979
4801.276820	428.521362	61.309177	-233.021622
4801.280154	424.663940	60.432495	-225.365280
4801.283489	421.274078	60.023380	-217.533615
4801.286833	416.832245	59.555817	-209.994156
4801.290157	413.033295	59.205143	-203.214508
4801.293486	408.474579	59.263588	-196.317947
4801.296839	404.967834	58.854473	-190.239624
4801.300158	400.701324	59.438927	-184.044418
4801.303489	397.136200	59.029804	-178.024536
4801.306822	392.752777	58.796024	-172.296906
4801.310155	389.304504	58.854473	-166.393921
4801.313489	385.330231	59.555817	-160.724716
4801.316818	381.881958	60.257160	-155.990646
4801.320151	377.790771	60.198711	-151.548798
4801.323483	374.108734	61.250729	-145.353592
4801.326821	370.309753	61.718292	-141.963776
4801.330151	366.861481	62.244301	-136.586792
4801.333511	363.997681	62.302746	-132.203384
4801.336819	359.906494	62.887199	-127.995323
4801.340151	356.282867	63.237869	-123.553482
4801.343485	352.308594	63.646992	-119.929863
4801.346814	348.801880	63.939220	-115.312683
4801.350150	345.762695	63.880772	-112.273529
4801.353500	342.548218	63.705437	-107.714783
4801.357709	336.236115	63.471649	-100.292229
4801.360994	332.963196	63.588543	-97.369957
4801.364341	329.514923	63.004089	-94.330803
4801.367681	327.410858	62.828754	-91.174751
4801.370586	324.137939	61.835182	-87.784920
4801.373907	321.157227	61.776741	-84.745766
4801.377294	317.592041	61.484509	-82.291061
4801.380595	315.604889	60.490944	-78.667442
4801.383933	313.383972	58.912914	-75.745178
4801.386814	310.929260	58.562244	-73.056694
4801.390145	307.714783	57.860901	-70.543541
4801.393478	305.552307	56.808884	-68.088837
4801.396814	303.097595	56.224430	-65.575691
4801.400146	300.818237	54.938633	-63.530098
4801.403480	298.831085	54.529510	-60.841614
4801.406813	295.675049	53.243713	-58.796024
4801.410142	293.746338	52.659260	-57.101112
4801.413479	291.408539	52.367039	-54.880188
4801.416814	289.479828	51.607246	-53.126823
4801.420140	287.726471	51.256573	-50.029224
4801.423478	285.739319	50.672119	-49.269432
4801.426831	283.869080	50.730568	-47.165401
4801.430143	282.057281	50.204556	-45.412041
4801.433475	280.537689	50.029224	-44.301579
4801.436806	278.842773	49.736996	-42.255993
4801.440139	276.680298	49.970776	-41.028641
4801.443467	275.336060	49.795441	-39.275276
4801.446806	273.582703	49.736996	-38.690823
4801.450160	271.770874	50.146114	-37.171246
4801.453489	270.835754	51.139683	-36.119228
4801.456803	268.965515	50.905903	-35.710110
4801.460143	267.913513	51.081242	-33.547634
4801.463470	266.277039	51.431911	-33.664524
4801.468099	263.530090	52.133255	-31.209818
4801.471046	262.536530	52.308590	-31.385153
4801.474344	260.900055	52.834599	-29.865574
4801.477679	259.964935	52.893044	-28.872004
4801.481072	258.679138	53.711277	-28.112215
4801.483925	258.445374	53.886616	-28.053770
4801.487289	257.568665	54.295731	-26.417299
4801.490554	256.224426	54.587959	-26.125072
4801.493897	255.289322	54.704849	-26.241964
4801.497230	254.061966	54.646408	-25.073057
4801.500137	253.360611	54.704849	-24.547049
4801.503470	253.243713	54.821743	-24.196377
4801.506835	252.074814	54.704849	-22.910578
4801.510133	251.431915	54.938633	-23.261251
4801.513486	251.139694	54.821743	-22.150789
4801.516796	250.496796	54.412621	-21.741673
4801.520137	249.853897	54.061951	-21.098774
4801.523464	249.561661	53.886616	-21.274109
4801.526798	249.386337	53.828167	-20.338982
4801.530135	248.568085	53.477497	-20.514320
4801.533467	248.451202	52.951492	-19.812975
4801.536798	248.451202	52.542370	-19.228521
4801.540169	247.925186	52.425480	-19.345411
4801.543462	248.217422	52.074806	-19.228521
4801.546797	248.042084	51.431911	-20.046755
4801.550169	247.983643	51.607246	-19.637638
4801.553469	248.100525	51.373463	-19.170076
4801.556816	248.158981	50.438339	-19.754528
4801.560135	248.158981	50.964348	-18.819405
4801.563463	247.632950	51.081242	-18.994740
4801.566798	248.275848	50.847458	-19.579193
4801.570131	248.626541	51.081242	-19.228521
4801.573457	249.269440	51.490356	-19.812975
4801.576796	249.269440	51.490356	-20.514320
4801.581001	250.029236	52.250145	-21.332554
4801.584434	250.379898	52.600819	-20.748100
4801.587725	250.905899	53.009933	-21.624781
4801.591089	251.373459	54.003506	-21.917007
4801.594312	251.724152	54.529510	-22.618351
4801.597222	252.250153	54.938633	-22.618351
4801.600577	252.659271	55.756866	-23.611923
4801.603887	253.652832	56.867332	-24.021040
4801.607211	254.003494	57.159554	-25.131502
4801.610122	254.938629	58.270020	-26.008183
4801.613457	255.406189	58.971363	-25.949738
4801.616786	256.399780	60.198711	-26.475746
4801.620122	256.925781	60.783165	-27.644651
4801.623461	256.750427	61.250729	-28.229105
4801.626787	258.445374	62.127411	-28.813559
4801.630115	259.263580	63.296318	-30.742254
4801.633497	260.607849	63.354759	-31.326708
4801.636785	261.367645	64.406784	-31.794271
4801.640125	262.419617	65.166565	-33.430744
4801.643478	263.530090	65.458801	-34.307423
4801.646789	264.932800	65.692581	-35.651665
4801.650117	266.043243	66.160141	-36.119228
4801.653454	267.095245	66.686150	-37.697254
4801.656793	268.790161	66.510811	-38.749268
4801.660121	270.485077	67.036819	-39.392166
4801.663449	271.595551	67.153709	-40.970196
4801.666784	273.348938	67.445938	-41.905319
4801.670117	275.394501	68.030396	-44.184689
4801.673454	276.797211	68.088837	-45.119812
4801.676781	278.667450	68.673286	-46.347164
4801.680140	280.654602	68.614845	-48.451199
4801.683446	282.291046	68.731735	-50.263004
4801.686785	284.278198	69.023964	-52.425480
4801.691041	288.018707	69.199303	-56.165989
4801.694373	290.122711	69.959084	-58.386909
4801.697625	292.109863	70.251312	-59.555817
4801.700969	294.330811	70.777321	-61.016949
4801.704302	296.493256	71.127991	-64.231445
4801.707200	298.363525	72.180008	-65.751022
4801.710534	301.227356	73.115143	-68.848625
4801.713891	303.097595	73.173584	-71.244881
4801.717227	306.312103	74.926941	-73.699593
4801.720116	308.416138	75.511398	-77.264755
4801.723462	310.520172	76.972534	-79.135010
4801.726789	313.033325	78.082993	-81.940392
4801.730114	315.663361	79.894798	-86.031563
4801.733445	317.708954	80.888367	-88.135597
4801.736774	319.754517	82.583282	-91.291641
4801.740108	322.326141	84.219757	-95.032143
4801.743441	324.079498	85.330215	-97.895966
4801.746778	327.118622	87.083580	-101.578018
4801.750111	329.339569	88.603157	-104.850960
4801.753446	332.203400	90.765633	-108.299240
4801.756773	334.891876	91.992989	-111.689064
4801.760113	337.697235	93.220345	-116.130913
4801.763438	340.093506	95.149033	-120.280540
4801.766802	342.665100	96.727058	-124.488602
4801.770104	345.645844	98.480423	-127.527763
4801.773445	348.743408	99.532440	-131.677383
4801.776773	351.782593	100.759796	-136.060791
4801.780107	354.295715	102.396263	-140.502625
4801.783435	357.743988	103.798950	-145.178253
4801.786770	360.783173	105.435417	-149.795441
4801.790103	364.173004	106.078316	-154.295731
4801.793472	367.153717	107.481003	-158.679138
4801.796779	370.485077	108.708359	-164.874344
4801.801373	377.206299	110.812393	-174.751602
4801.804297	380.888367	111.981293	-180.537704
4801.807622	384.044403	112.857971	-186.732895
4801.811004	387.609589	113.851547	-192.752777
4801.814371	391.291656	114.845123	-198.305084
4801.817224	395.090576	115.546463	-205.844543
