crossing time (s)	slope (V/s)	crossing number
5905.224842	83.103924	2549
5906.290534	88.740422	2550
5907.236867	77.762296	2551
5908.293668	78.470647	2552
5909.239961	71.971074	2553
5910.311062	64.112056	2554
5911.299521	75.293193	2555
5912.320765	62.518264	2556
5913.303138	63.092033	2557
5914.292269	58.917892	2558
5915.317413	56.959191	2559
5916.382518	49.000623	2560
5917.344728	51.560212	2561
5918.401312	46.204531	2562
5919.366013	44.477314	2563
5920.425699	41.129637	2564
5921.369689	40.236568	2565
5922.448134	37.950871	2566
5923.392363	35.396391	2567
5924.469789	34.238148	2568
5925.419449	31.770354	2569
5926.477540	31.041866	2570
5927.454032	28.045018	2571
5928.480075	26.679550	2572
5929.480190	25.242754	2573
5930.506021	23.048529	2574
5931.511742	23.687891	2575
5932.544929	19.861224	2576
5933.499230	19.793277	2577
5934.573985	19.365129	2578
5935.507000	18.241787	2579
5936.606722	16.224642	2580
5937.526462	17.249623	2581
5938.637503	13.056194	2582
5939.547261	15.120645	2583
5940.653398	13.136614	2584
5941.551190	12.794747	2585
5942.692905	11.122288	2586
5943.583729	11.328554	2587
5944.702507	10.315246	2588
5945.599705	10.537534	2589
