time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6272.250349	11.644615	1.219031	0.020444	71
6274.268117	11.919776	1.165258	0.021984	73
6276.286690	11.882539	1.116889	0.023695	75
6278.307259	11.807279	1.071710	0.026021	77
6280.328805	11.672047	1.029549	0.027484	79
6282.352475	11.650788	0.989755	0.029543	81
6284.380228	11.923614	0.952052	0.031658	83
6286.408452	12.263475	0.916689	0.033359	85
6288.430874	12.399981	0.885235	0.034070	87
6290.445861	12.147349	0.853276	0.035079	89
6292.456565	11.928884	0.816715	0.037027	91
6294.469609	12.049957	0.777451	0.038573	93
6296.485545	12.382755	0.742510	0.038947	95
6298.504232	12.638230	0.709715	0.039110	97
6300.525575	12.829705	0.679218	0.039233	99
6302.550639	12.525477	0.650895	0.038887	101
6304.580710	11.645861	0.624990	0.037941	103
6306.609936	10.711818	0.602066	0.037487	105
