time (s)	det(V)
6472.116223	0.276556	
6472.117713	0.270425	
6472.119354	0.268705	
6472.120855	0.258364	
6472.122440	0.252648	
6472.123992	0.249945	
6472.125536	0.242678	
6472.127137	0.218790	
6472.128631	0.210681	
6472.130289	0.207209	
6472.131778	0.189134	
6472.133410	0.171788	
6472.134913	0.186338	
6472.136597	0.180642	
6472.138077	0.170325	
6472.139808	0.181617	
6472.141277	0.177206	
6472.143002	0.163481	
6472.144486	0.151300	
6472.146173	0.149056	
6472.147655	0.140713	
6472.149422	0.126860	
6472.150904	0.126558	
6472.152695	0.141656	
6472.154182	0.138949	
6472.155950	0.132721	
6472.157433	0.136492	
6472.159214	0.133378	
6472.160719	0.105183	
6472.162465	0.120688	
6472.163979	0.113055	
6472.165714	0.099890	
6472.167241	0.094899	
6472.168960	0.103955	
6472.170504	0.112015	
6472.172225	0.101767	
6472.173774	0.108579	
6472.175448	0.107754	
6472.177003	0.097143	
6472.178700	0.083068	
6472.180276	0.088575	
6472.181907	0.086077	
6472.183512	0.069940	
6472.185159	0.086375	
6472.186767	0.089908	
6472.188399	0.071873	
6472.190016	0.090895	
6472.191632	0.086891	
6472.193314	0.082109	
6472.194901	0.068361	
6472.196572	0.071918	
6472.198144	0.065182	
6472.199816	0.058535	
6472.201390	0.054648	
6472.203086	0.069694	
6472.204653	0.057637	
6472.206381	0.074077	
6472.207922	0.077376	
6472.209638	0.067100	
6472.211148	0.051103	
6472.212893	0.057887	
6472.214387	0.050277	
6472.216150	0.036106	
6472.217644	0.042712	
6472.219434	0.054592	
6472.220915	0.041278	
6472.222705	0.045468	
6472.224185	0.050342	
6472.225940	0.049355	
6472.227423	0.033729	
6472.229191	0.035200	
6472.230739	0.033850	
6472.232227	0.023759	
6472.233797	0.021797	
6472.235279	0.032013	
6472.236947	0.037234	
6472.238433	0.024980	
6472.240060	0.024541	
6472.241585	0.035606	
6472.243217	0.031054	
6472.244694	0.016311	
6472.246317	0.010256	
6472.247798	0.001704	
6472.249493	-0.003988	
6472.250992	0.000024	
6472.252702	0.007839	
6472.254188	0.006232	
6472.255859	0.006606	
6472.257362	0.011561	
6472.259014	0.013124	
6472.260532	0.000862	
6472.262163	-0.003936	
6472.263715	-0.004117	
6472.265384	-0.014574	
6472.266941	-0.015948	
6472.268587	-0.005873	
6472.270193	0.004673	
6472.271833	-0.006204	
6472.273439	0.005305	
6472.275057	0.008758	
6472.276663	0.000109	
6472.278262	-0.011992	
6472.279925	-0.001031	
6472.281496	-0.016431	
6472.283186	-0.018812	
6472.284752	-0.010055	
6472.286448	-0.001579	
6472.288024	-0.008468	
6472.289715	0.004556	
6472.291267	0.008218	
6472.292988	0.000661	
6472.294515	-0.011509	
6472.296226	-0.007428	
6472.297704	-0.012194	
6472.299465	-0.017136	
6472.300945	-0.013523	
6472.302714	0.000330	
6472.304201	-0.000765	
6472.305981	0.005595	
6472.307471	0.007811	
6472.309239	0.008073	
6472.310733	-0.004753	
6472.312478	-0.000636	
6472.313977	-0.000806	
6472.315695	-0.014341	
6472.317217	-0.009781	
6472.318889	0.002199	
6472.320437	0.000890	
6472.322128	0.001660	
6472.323693	0.016154	
6472.325376	0.013430	
6472.326947	-0.001821	
6472.328624	-0.004181	
6472.330211	-0.003634	
6472.331862	-0.008343	
6472.333464	-0.000149	
6472.335074	0.008169	
6472.336715	0.009261	
6472.338346	0.004028	
6472.339983	0.011759	
6472.341578	0.016577	
6472.343214	0.006707	
6472.344701	0.005628	
6472.346265	0.005571	
6472.347763	0.000346	
6472.349398	-0.018091	
6472.350879	-0.007420	
6472.352498	0.006192	
6472.354009	-0.000302	
6472.355579	0.005064	
6472.357149	0.014401	
6472.358639	0.013777	
6472.360282	-0.000673	
6472.361855	-0.008016	
6472.363457	-0.003420	
6472.364999	-0.013358	
6472.366655	-0.020053	
6472.368124	-0.006663	
6472.369834	-0.004346	
6472.371307	-0.005684	
6472.373014	0.000528	
6472.374488	0.005966	
6472.376184	-0.003811	
6472.377665	-0.014679	
6472.379436	-0.010038	
6472.380932	-0.020170	
6472.382705	-0.027932	
6472.384183	-0.021741	
6472.385956	-0.012709	
6472.387437	-0.017193	
6472.389209	-0.019090	
6472.390703	-0.007287	
6472.392426	-0.012560	
6472.393947	-0.026398	
6472.395698	-0.030780	
6472.397223	-0.024109	
6472.398927	-0.037749	
6472.400464	-0.038410	
6472.402173	-0.029447	
6472.403722	-0.025439	
6472.405410	-0.028500	
6472.406971	-0.020202	
6472.408626	-0.020142	
6472.410217	-0.033012	
6472.411874	-0.040033	
6472.413462	-0.035683	
6472.415087	-0.040662	
6472.416687	-0.046668	
6472.418317	-0.038555	
6472.420005	-0.033487	
6472.421592	-0.045556	
6472.423244	-0.036182	
6472.424822	-0.027417	
6472.426505	-0.037129	
6472.428104	-0.046660	
6472.429790	-0.041584	
6472.431351	-0.049065	
6472.433069	-0.052751	
6472.434605	-0.047901	
6472.436325	-0.035562	
6472.437847	-0.042966	
6472.439568	-0.039755	
6472.441071	-0.031381	
6472.442812	-0.033685	
6472.444297	-0.048638	
6472.446082	-0.040956	
6472.447562	-0.051788	
6472.449332	-0.059450	
6472.450813	-0.055132	
6472.452589	-0.044908	
6472.454077	-0.046882	
6472.455831	-0.044594	
6472.457374	-0.038289	
6472.458865	-0.039723	
6472.460463	-0.055994	
6472.461950	-0.060570	
